step,key,value,timestamp
1,loss/total,0.4882681717475255,1756072805
1,loss/policy,-7.450580596923828e-09,1756072805
1,loss/value,0.976536363363266,1756072805
1,loss/entropy,0.0,1756072805
1,perf/fps,39.01369659143231,1756072805
1,value/explained_variance,0.18030504992303753,1756072805
1,optim/lr,0.001,1756072805
2,loss/total,0.09153015911579132,1756072806
2,loss/policy,4.470348358154297e-08,1756072806
2,loss/value,0.18306022882461548,1756072806
2,loss/entropy,0.0,1756072806
2,perf/fps,43.3931018607427,1756072806
2,value/explained_variance,-0.011182775595691918,1756072806
2,optim/lr,0.001,1756072806
1,loss/total,7962401527125.333,1756073335
1,loss/policy,-1.800556977589925e-08,1756073335
1,loss/value,15924803054250.666,1756073335
1,loss/entropy,0.0,1756073335
1,perf/fps,82.84554001738168,1756073335
1,value/explained_variance,0.0,1756073335
1,optim/lr,0.001,1756073335
2,loss/total,53972753066.666664,1756073335
2,loss/policy,6.20881716410319e-09,1756073335
2,loss/value,107945506133.33333,1756073335
2,loss/entropy,0.0,1756073335
2,perf/fps,109.52883361487176,1756073335
2,value/explained_variance,-1.683488930481758e-07,1756073335
2,optim/lr,0.001,1756073335
3,loss/total,49197065557.333336,1756073336
3,loss/policy,0.0,1756073336
3,loss/value,98394131114.66667,1756073336
3,loss/entropy,0.0,1756073336
3,perf/fps,126.83144512996616,1756073336
3,value/explained_variance,0.0,1756073336
3,optim/lr,0.001,1756073336
4,loss/total,70629903018.66667,1756073336
4,loss/policy,-1.9868214925130207e-08,1756073336
4,loss/value,141259806037.33334,1756073336
4,loss/entropy,0.0,1756073336
4,perf/fps,135.42657950530926,1756073336
4,value/explained_variance,-6.432298582659257e-08,1756073336
4,optim/lr,0.001,1756073336
5,loss/total,52389941248.0,1756073336
5,loss/policy,7.450580596923828e-09,1756073336
5,loss/value,104779882496.0,1756073336
5,loss/entropy,0.0,1756073336
5,perf/fps,140.75019804146066,1756073336
5,value/explained_variance,-8.671752826927559e-08,1756073336
5,optim/lr,0.001,1756073336
6,loss/total,11925186901.333334,1756073336
6,loss/policy,6.20881716410319e-09,1756073336
6,loss/value,23850373802.666668,1756073336
6,loss/entropy,0.0,1756073336
6,perf/fps,144.81786469698184,1756073336
6,value/explained_variance,-9.524224053869546e-08,1756073336
6,optim/lr,0.001,1756073336
7,loss/total,13798030.666666666,1756073336
7,loss/policy,-9.934107462565104e-09,1756073336
7,loss/value,27596061.333333332,1756073336
7,loss/entropy,0.0,1756073336
7,perf/fps,149.83073245334953,1756073336
7,value/explained_variance,1.1102230246251565e-16,1756073336
7,optim/lr,0.001,1756073336
8,loss/total,11615271253.333334,1756073336
8,loss/policy,3.725290298461914e-09,1756073336
8,loss/value,23230542506.666668,1756073336
8,loss/entropy,0.0,1756073336
8,perf/fps,152.8269716501852,1756073336
8,value/explained_variance,9.778348308842055e-08,1756073336
8,optim/lr,0.001,1756073336
9,loss/total,26940354560.0,1756073337
9,loss/policy,-8.692344029744467e-09,1756073337
9,loss/value,53880709120.0,1756073337
9,loss/entropy,0.0,1756073337
9,perf/fps,156.16253806750922,1756073337
9,value/explained_variance,0.0,1756073337
9,optim/lr,0.001,1756073337
10,loss/total,27541516970.666668,1756073337
10,loss/policy,-1.7384688059488933e-08,1756073337
10,loss/value,55083033941.333336,1756073337
10,loss/entropy,0.0,1756073337
10,perf/fps,158.4404343244311,1756073337
10,value/explained_variance,-1.649555552152293e-07,1756073337
10,optim/lr,0.001,1756073337
11,loss/total,16505726634.666666,1756073337
11,loss/policy,7.450580596923828e-09,1756073337
11,loss/value,33011453269.333332,1756073337
11,loss/entropy,0.0,1756073337
11,perf/fps,160.6673581349987,1756073337
11,value/explained_variance,-1.37622740536969e-07,1756073337
11,optim/lr,0.001,1756073337
12,loss/total,4040095914.6666665,1756073337
12,loss/policy,6.20881716410319e-09,1756073337
12,loss/value,8080191829.333333,1756073337
12,loss/entropy,0.0,1756073337
12,perf/fps,161.1734341928548,1756073337
12,value/explained_variance,-1.4056367581005702e-07,1756073337
12,optim/lr,0.001,1756073337
13,loss/total,505201546.6666667,1756073337
13,loss/policy,-1.4901161193847656e-08,1756073337
13,loss/value,1010403093.3333334,1756073337
13,loss/entropy,0.0,1756073337
13,perf/fps,162.7147963806475,1756073337
13,value/explained_variance,0.0,1756073337
13,optim/lr,0.001,1756073337
14,loss/total,4526211925.333333,1756073338
14,loss/policy,1.241763432820638e-08,1756073338
14,loss/value,9052423850.666666,1756073338
14,loss/entropy,0.0,1756073338
14,perf/fps,164.23644266870468,1756073338
14,value/explained_variance,6.273355701580385e-08,1756073338
14,optim/lr,0.001,1756073338
15,loss/total,4110990933.3333335,1756073338
15,loss/policy,4.967053731282552e-09,1756073338
15,loss/value,8221981866.666667,1756073338
15,loss/entropy,0.0,1756073338
15,perf/fps,164.9875144795733,1756073338
15,value/explained_variance,-2.0720948090691138e-07,1756073338
15,optim/lr,0.001,1756073338
16,loss/total,646180117.3333334,1756073338
16,loss/policy,-4.967053731282552e-09,1756073338
16,loss/value,1292360234.6666667,1756073338
16,loss/entropy,0.0,1756073338
16,perf/fps,166.22274326815986,1756073338
16,value/explained_variance,0.0,1756073338
16,optim/lr,0.001,1756073338
17,loss/total,1516743978.6666667,1756073338
17,loss/policy,1.241763432820638e-08,1756073338
17,loss/value,3033487957.3333335,1756073338
17,loss/entropy,0.0,1756073338
17,perf/fps,166.60950740439603,1756073338
17,value/explained_variance,-9.360360686549996e-08,1756073338
17,optim/lr,0.001,1756073338
18,loss/total,5171949738.666667,1756073338
18,loss/policy,2.483526865641276e-09,1756073338
18,loss/value,10343899477.333334,1756073338
18,loss/entropy,0.0,1756073338
18,perf/fps,165.74507471607316,1756073338
18,value/explained_variance,0.0,1756073338
18,optim/lr,0.001,1756073338
19,loss/total,3577487104.0,1756073338
19,loss/policy,6.20881716410319e-09,1756073338
19,loss/value,7154974208.0,1756073338
19,loss/entropy,0.0,1756073338
19,perf/fps,166.01185547483905,1756073338
19,value/explained_variance,0.0,1756073338
19,optim/lr,0.001,1756073338
20,loss/total,226392202.66666666,1756073339
20,loss/policy,-1.862645149230957e-08,1756073339
20,loss/value,452784405.3333333,1756073339
20,loss/entropy,0.0,1756073339
20,perf/fps,166.71663530273952,1756073339
20,value/explained_variance,0.0,1756073339
20,optim/lr,0.001,1756073339
21,loss/total,2850458709.3333335,1756073339
21,loss/policy,1.4901161193847656e-08,1756073339
21,loss/value,5700917418.666667,1756073339
21,loss/entropy,0.0,1756073339
21,perf/fps,167.69947026532904,1756073339
21,value/explained_variance,0.0,1756073339
21,optim/lr,0.001,1756073339
22,loss/total,8030967125.333333,1756073339
22,loss/policy,4.967053731282552e-09,1756073339
22,loss/value,16061934250.666666,1756073339
22,loss/entropy,0.0,1756073339
22,perf/fps,168.59696316605246,1756073339
22,value/explained_variance,0.0,1756073339
22,optim/lr,0.001,1756073339
23,loss/total,6444994730.666667,1756073339
23,loss/policy,4.967053731282552e-09,1756073339
23,loss/value,12889989461.333334,1756073339
23,loss/entropy,0.0,1756073339
23,perf/fps,168.99418080098442,1756073339
23,value/explained_variance,0.0,1756073339
23,optim/lr,0.001,1756073339
24,loss/total,1430689664.0,1756073339
24,loss/policy,4.967053731282552e-09,1756073339
24,loss/value,2861379328.0,1756073339
24,loss/entropy,0.0,1756073339
24,perf/fps,169.34937600884234,1756073339
24,value/explained_variance,0.0,1756073339
24,optim/lr,0.001,1756073339
25,loss/total,822431744.0,1756073339
25,loss/policy,4.967053731282552e-09,1756073339
25,loss/value,1644863488.0,1756073339
25,loss/entropy,0.0,1756073339
25,perf/fps,169.39487823606237,1756073340
25,value/explained_variance,-8.631276360304696e-08,1756073340
25,optim/lr,0.001,1756073340
26,loss/total,4040457728.0,1756073340
26,loss/policy,-4.967053731282552e-09,1756073340
26,loss/value,8080915456.0,1756073340
26,loss/entropy,0.0,1756073340
26,perf/fps,169.86587119527974,1756073340
26,value/explained_variance,7.027554060901053e-08,1756073340
26,optim/lr,0.001,1756073340
27,loss/total,2854184960.0,1756073340
27,loss/policy,-2.1109978357950847e-08,1756073340
27,loss/value,5708369920.0,1756073340
27,loss/entropy,0.0,1756073340
27,perf/fps,170.27879792111946,1756073340
27,value/explained_variance,9.948386769931261e-08,1756073340
27,optim/lr,0.001,1756073340
28,loss/total,110221376.0,1756073340
28,loss/policy,1.7384688059488933e-08,1756073340
28,loss/value,220442752.0,1756073340
28,loss/entropy,0.0,1756073340
28,perf/fps,170.3266568476789,1756073340
28,value/explained_variance,0.0,1756073340
28,optim/lr,0.001,1756073340
29,loss/total,3168447317.3333335,1756073340
29,loss/policy,-1.3659397761027018e-08,1756073340
29,loss/value,6336894634.666667,1756073340
29,loss/entropy,0.0,1756073340
29,perf/fps,169.52750773428613,1756073340
29,value/explained_variance,-8.961657549377833e-08,1756073340
29,optim/lr,0.001,1756073340
30,loss/total,8367797760.0,1756073340
30,loss/policy,6.20881716410319e-09,1756073340
30,loss/value,16735595520.0,1756073340
30,loss/entropy,0.0,1756073340
30,perf/fps,168.67784758965806,1756073340
30,value/explained_variance,0.0,1756073340
30,optim/lr,0.001,1756073340
31,loss/total,6673763498.666667,1756073341
31,loss/policy,8.692344029744467e-09,1756073341
31,loss/value,13347526997.333334,1756073341
31,loss/entropy,0.0,1756073341
31,perf/fps,168.1270368547676,1756073341
31,value/explained_variance,0.0,1756073341
31,optim/lr,0.001,1756073341
32,loss/total,1535041920.0,1756073341
32,loss/policy,-1.862645149230957e-08,1756073341
32,loss/value,3070083840.0,1756073341
32,loss/entropy,0.0,1756073341
32,perf/fps,167.82238871649787,1756073341
32,value/explained_variance,0.0,1756073341
32,optim/lr,0.001,1756073341
33,loss/total,737935402.6666666,1756073341
33,loss/policy,1.241763432820638e-08,1756073341
33,loss/value,1475870805.3333333,1756073341
33,loss/entropy,0.0,1756073341
33,perf/fps,167.8139100667166,1756073341
33,value/explained_variance,-1.9239178961072412e-07,1756073341
33,optim/lr,0.001,1756073341
34,loss/total,3850816768.0,1756073341
34,loss/policy,1.179675261179606e-08,1756073341
34,loss/value,7701633536.0,1756073341
34,loss/entropy,0.0,1756073341
34,perf/fps,167.60988036032026,1756073341
34,value/explained_variance,0.0,1756073341
34,optim/lr,0.001,1756073341
35,loss/total,2714255104.0,1756073341
35,loss/policy,2.7939677238464355e-08,1756073341
